,MSOA11CD,Count
936,E02000969,13.0
937,E02000970,21.0
938,E02000971,21.0
939,E02000972,48.0
940,E02000973,9.0
941,E02000974,14.0
942,E02000975,15.0
943,E02000976,13.0
944,E02000977,59.0
945,E02000978,37.0
946,E02000979,38.0
947,E02000980,18.0
948,E02000981,7.0
949,E02000982,29.0
950,E02000983,12.0
951,E02006782,17.0
952,E02006783,23.0
953,E02006784,24.0
954,E02006785,16.0
955,E02006786,16.0
956,E02006787,23.0
957,E02006788,11.0
958,E02006789,58.0
959,E02006791,13.0
960,E02006792,33.0
961,E02006793,22.0
962,E02006794,12.0
963,E02006795,9.0
964,E02006796,24.0
965,E02006798,17.0
966,E02006799,24.0
967,E02006800,16.0
968,E02006801,51.0
969,E02006802,27.0
970,E02006836,17.0
971,E02006853,5.0
972,E02006854,21.0
973,E02006882,17.0
974,E02006918,15.0
975,E02006921,13.0
976,E02006924,26.0
977,E02006925,26.0
978,E02006927,38.0
979,E02006928,14.0
980,E02006929,34.0
981,E02006930,23.0
982,E02006931,27.0
