,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,area,rest_degree,pop_degree,income_degree,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree
46,E02000048,0.0,3.0,0.462,10830,58700,595.0,2500.0,13.71183333,0.0,0.0,0.0,18.0,308.42,0.009726995655275274,35.11445431554374,190.32488165488618,1.9291874716295958,8.105829712729394,0.0,0.0,0.0,0.05836197393165164
47,E02000049,0.0,0.0,0.252,9571,43400,220.0,1500.0,3.624566097,0.0,0.0,1.0,15.0,78.84,0.0,121.39776763064434,550.4819888381531,2.7904616945712837,19.025875190258752,0.0,0.0,0.012683916793505834,0.1902587519025875
48,E02000050,0.0,6.0,0.412,10902,53100,495.0,3500.0,6.868772159,0.0,0.0,1.0,26.0,212.05,0.028295213393067672,51.41240273520396,250.4126385286489,2.334355104928083,16.50554114595614,0.0,0.0,0.004715868898844612,0.1226125913699599
49,E02000051,0.0,9.0,0.475,9982,58600,1540.0,6000.0,11.008397,0.0,0.0,2.0,30.0,144.87,0.062124663491406086,68.90315455235728,404.50058673293296,10.630220197418375,41.41644232760406,0.0,0.0,0.01380548077586802,0.2070822116380203
50,E02000052,0.0,9.0,0.539,10671,58600,600.0,3000.0,2.868500799,0.0,0.0,3.0,13.0,96.92,0.09286009079653322,110.10111432108955,604.6223689640941,6.190672719768881,30.95336359884441,0.0,0.0,0.030953363598844406,0.1341312422616591
51,E02000053,0.0,5.0,0.346,17653,51100,705.0,7000.0,13.6433286,0.0,0.0,3.0,27.0,155.02,0.03225390272222939,113.87562895110308,329.63488582118435,4.547800283834344,45.155463811121145,0.0,0.0,0.01935234163333763,0.1741710747000387
52,E02000054,1.0,2.0,0.431,7655,57000,410.0,3500.0,6.398522519,0.0,0.0,0.0,18.0,150.02,0.013331555792560991,51.02652979602719,379.9493400879882,2.732968937475003,23.330222636981734,0.0,0.0,0.0,0.11998400213304893
53,E02000055,2.0,14.0,0.411,11941,50400,1160.0,5000.0,10.65808106,0.0,0.0,6.0,24.0,144.02,0.0972087210109707,82.91209554228578,349.9513956394945,8.054436883766144,34.71740036106096,0.0,0.0,0.04166088043327315,0.1666435217330926
54,E02000056,0.0,0.0,0.568,9652,71600,675.0,2250.0,8.148083473,0.0,0.0,1.0,51.0,322.71,0.0,29.9092064082303,221.87102971708347,2.09166124384122,6.9722041461374,0.0,0.0,0.0030987573982832885,0.15803662731244772
55,E02000057,1.0,5.0,0.404,8324,54400,460.0,2250.0,11.97247644,0.0,0.0,0.0,16.0,109.45,0.04568296025582458,76.05299223389676,497.03060758337136,4.202832343535861,20.55733211512106,0.0,0.0,0.0,0.14618547281863864
56,E02000058,0.0,8.0,0.519,11013,58800,940.0,4000.0,7.753901428,0.0,0.0,2.0,26.0,181.33,0.04411845805989081,60.734572326697176,324.2706667401974,5.183918822037169,22.059229029945403,0.0,0.0,0.011029614514972702,0.1433849886946451
57,E02000059,4.0,3.0,0.304,11901,46900,655.0,4500.0,1.686866712,1.0,1.0,2.0,15.0,219.36,0.013676148796498906,54.25328227571116,213.80379285193288,2.985959153902261,20.514223194748357,0.004558716265499635,0.004558716265499635,0.00911743253099927,0.06838074398249452
58,E02000060,0.0,1.0,0.4,12446,49600,740.0,3000.0,7.511134118,0.0,0.0,0.0,17.0,123.27,0.008112273870365864,100.96536059057354,402.36878397014686,6.003082664070739,24.33682161109759,0.0,0.0,0.0,0.1379086557962197
59,E02000061,0.0,24.0,0.56,9286,65500,1035.0,5000.0,11.1610558,0.0,0.0,3.0,33.0,158.72,0.15120967741935484,58.50554435483871,412.67641129032256,6.520917338709677,31.50201612903226,0.0,0.0,0.018901209677419355,0.2079133064516129
60,E02000062,7.0,7.0,0.298,7064,45400,485.0,8000.0,8.031260006,1.0,1.0,7.0,39.0,183.85,0.03807451726951319,38.4226271416916,246.940440576557,2.6380201251019852,43.51373402230079,0.005439216752787599,0.005439216752787599,0.03807451726951319,0.21212945335871636
61,E02000063,0.0,2.0,0.357,8013,54200,690.0,1500.0,5.881311205,0.0,0.0,0.0,16.0,103.74,0.0192789666473877,77.24117987275882,522.4599961442067,6.6512434933487565,14.459224985540775,0.0,0.0,0.0,0.1542317331791016
62,E02000064,1.0,2.0,0.396,7049,50100,355.0,1500.0,5.652547318,0.0,0.0,2.0,18.0,79.44,0.025176233635448138,88.73363544813697,630.6646525679758,4.468781470292044,18.882175226586103,0.0,0.0,0.025176233635448138,0.22658610271903323
63,E02000065,0.0,0.0,0.317,9081,49800,555.0,4000.0,5.666843952,0.0,0.0,0.0,13.0,406.22,0.0,22.354881591255968,122.5936684555167,1.3662547388114814,9.846881000443108,0.0,0.0,0.0,0.032002363251440104
64,E02000066,0.0,0.0,0.242,10135,41400,210.0,1250.0,4.824719007,1.0,1.0,0.0,28.0,157.29,0.0,64.43511984232946,263.208086973107,1.335113484646195,7.947104075274971,0.006357683260219976,0.006357683260219976,0.0,0.17801513128615934
65,E02000067,0.0,1.0,0.222,10581,45700,410.0,4000.0,7.575712438,1.0,1.0,4.0,26.0,261.82,0.003819417920708884,40.4132610190207,174.547398976396,1.5659613474906424,15.277671682835535,0.003819417920708884,0.003819417920708884,0.015277671682835536,0.09930486593843099
66,E02000068,0.0,1.0,0.232,8317,45100,485.0,7000.0,3.835684669,1.0,1.0,3.0,31.0,358.31,0.002790879406100862,23.211744020540873,125.86866121514889,1.3535765119589183,19.536155842706037,0.002790879406100862,0.002790879406100862,0.008372638218302588,0.08651726158912673
67,E02000069,0.0,1.0,0.223,6952,45800,180.0,1000.0,8.540259351,0.0,0.0,0.0,24.0,145.13,0.0068903741473161995,47.90188107214222,315.5791359470819,1.2402673465169158,6.8903741473162,0.0,0.0,0.0,0.1653689795355888
68,E02000070,0.0,1.0,0.192,8029,50100,265.0,900.0,7.434092073,0.0,0.0,0.0,25.0,185.59,0.005388221348132981,43.2620292041597,269.94988954146237,1.42787865725524,4.849399213319683,0.0,0.0,0.0,0.13470553370332453
69,E02000071,0.0,1.0,0.177,7594,51300,265.0,1750.0,11.45991914,0.0,0.0,1.0,10.0,117.87,0.008483922965979468,64.42691100364809,435.22524815474674,2.248239585984559,14.84686519046407,0.0,0.0,0.008483922965979468,0.08483922965979468
70,E02000072,0.0,0.0,0.197,13358,44200,470.0,4000.0,3.67031154,1.0,1.0,2.0,31.0,560.29,0.0,23.841225079869353,78.88771885987614,0.8388513091434793,7.139160077816845,0.0017847900194542113,0.0017847900194542113,0.0035695800389084226,0.05532849060308055
71,E02000073,0.0,1.0,0.202,10808,57600,360.0,1250.0,12.02412728,0.0,0.0,2.0,28.0,160.0,0.00625,67.55,360.0,2.25,7.8125,0.0,0.0,0.0125,0.175
72,E02000074,0.0,1.0,0.157,8677,44900,195.0,1500.0,7.086356603,0.0,0.0,0.0,11.0,112.9,0.008857395925597873,76.85562444641275,397.6970770593445,1.7271922054915854,13.286093888396811,0.0,0.0,0.0,0.09743135518157661
73,E02000075,0.0,1.0,0.201,8272,53500,280.0,900.0,2.295514133,0.0,0.0,1.0,18.0,153.52,0.006513809275664408,53.88223032829598,348.48879624804584,1.8238665971860342,5.862428348097967,0.0,0.0,0.006513809275664408,0.11724856696195934
74,E02000077,0.0,1.0,0.184,8189,51300,220.0,1250.0,3.844373384,0.0,0.0,1.0,13.0,111.72,0.00895094880057286,73.29931972789116,459.18367346938777,1.9692087361260293,11.188686000716077,0.0,0.0,0.00895094880057286,0.11636233440744718
75,E02000078,0.0,1.0,0.207,7950,55200,225.0,600.0,0.740576225,1.0,1.0,1.0,19.0,148.78,0.006721333512568894,53.434601424922704,371.01760989380296,1.5123000403280011,4.032800107541336,0.006721333512568894,0.006721333512568894,0.006721333512568894,0.127705336738809
76,E02000079,0.0,13.0,0.255,8819,49900,640.0,6000.0,3.307931705,1.0,1.0,7.0,26.0,164.79,0.07888828205595,53.516596880878694,302.8096365070696,3.883730808908308,36.40997633351539,0.006068329388919231,0.006068329388919231,0.04247830572243461,0.1577765641119
