,id,category,longitude,latitude,general_category
219,L99h9jiDIaVmtisYwyb_XA,vietnamese,-0.0949433,51.5127542,Southeast_Asian
220,yoC1jwmC2Y0Pr2m8oX7nbA,vietnamese,-0.105745,51.517846,Southeast_Asian
221,K7D689kqnyPk3TOGhhHvNw,vietnamese,-0.0957303272322929,51.5140995153011,Southeast_Asian
222,ShAbWTHG0fUxBRoM2REGEQ,vietnamese,-0.0850842,51.5188265,Southeast_Asian
223,Uk-YWuojWM6aFByKbmRcRQ,vietnamese,-0.0881208,51.5172254,Southeast_Asian
224,wiYKtycwPQ23ec926uEgjg,vietnamese,-0.1015774,51.522586,Southeast_Asian
225,9l7fPTFQRwQsa0iGsqrIJQ,vietnamese,-0.102517,51.5245394,Southeast_Asian
226,Yt6e2HrHgo0RCbrfkEtX8w,vietnamese,-0.0885772705078125,51.5121612495552,Southeast_Asian
227,FTvaaNWeHuTGJZNajMhEEg,vietnamese,-0.0938059985637665,51.5245246887207,Southeast_Asian
228,iEqQla3u5uiGFcA2iTjJ7Q,vietnamese,-0.101334,51.513018,Southeast_Asian
229,Ew5lkgNG37VXg68eBkRbIw,vietnamese,-0.10161233121869,51.521845158056,Southeast_Asian
230,8asKbfQ4VFNshF-H7lhNEg,vietnamese,-0.0934101,51.5129579,Southeast_Asian
231,cBmEM7crBQjSKiq0ab-9fg,vietnamese,-0.1048569,51.517438,Southeast_Asian
233,BlOHxDfJueEa4vX016k6sA,vietnamese,-0.0836815,51.5106283,Southeast_Asian
234,MiS0n700K_FZcGRk-5pfCA,japanese,-0.127210006117821,51.506420135498,Japanese_Korean
235,bS65vsCq1Bo3vQbNwi5s0g,japanese,-0.1008875,51.5136761,Japanese_Korean
236,hoz3sOAVQjqdxp7AeqpJxQ,japanese,-0.0932813,51.5117542,Japanese_Korean
237,iXcyR-SwU8S10lV8hDriYQ,japanese,-0.103888651528,51.513179121039,Japanese_Korean
238,6tVSUbAXvwM2HnylnSUYkg,japanese,-0.0965973,51.5142174,Japanese_Korean
239,mH8ensOBgPJeV6d6atf7lg,japanese,-0.098762244148143,51.512496488505,Japanese_Korean
240,iPCqDM-kt8tLvDHjN82DeQ,japanese,-0.0939679725135605,51.5142211000643,Japanese_Korean
