,id,category,longitude,latitude,general_category,geometry,index_right,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ
2675,EZRj-Rg30SMzrkMVo6_BdQ,ethiopian,0.067428,51.489058,African,POINT (543634.0759444701 178705.1005822076),313.0,E02000323,Greenwich 011,E09000011,Greenwich,E12000007,London,10674.0,10631.0,43.0,140.2,4001.0,2.7
2676,DHxTMSbO70AKwaJocBISxA,mediterranean,0.0085395,51.4669675,Mediterranean,POINT (539613.3346946994 176134.8002897264),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2677,MxBWwfkh2XzMvPv4UhKYuQ,mediterranean,0.0326695,51.4853874,Mediterranean,POINT (541232.4242301601 178229.3499637151),315.0,E02000326,Greenwich 014,E09000011,Greenwich,E12000007,London,7070.0,7063.0,7.0,96.8,2932.0,2.4
2678,4fXAbVy4FIx_BVcMWhaVxQ,mediterranean,-0.0064701586961746,51.461273,Mediterranean,POINT (538588.0701388933 175473.0781463115),641.0,E02000664,Lewisham 012,E09000023,Lewisham,E12000007,London,9928.0,9797.0,131.0,70.2,4452.0,2.2
2679,dlZ4prGbgVN8EmJu00Zmww,mediterranean,0.0084649,51.4666266,Mediterranean,POINT (539609.1930915561 176096.7498413904),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2683,nHx9ev_QlLzd6Tbrz8n4GA,kebab,0.0202267228918637,51.4866498876557,Mediterranean,POINT (540364.6819899859 178345.8264737363),981.0,E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London,6561.0,6557.0,4.0,75.6,2876.0,2.3
2684,q026xuynO3qPDkThImRoBw,turkish,0.0024161,51.4846039,Mediterranean,POINT (539134.3940800326 178084.3369188444),981.0,E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London,6561.0,6557.0,4.0,75.6,2876.0,2.3
2686,qBXbZyQQvFTM1hVCaRr9Aw,turkish,0.0589602,51.4508301,Mediterranean,POINT (543165.766903265 174437.5893443541),326.0,E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London,6088.0,6086.0,2.0,18.6,2799.0,2.2
2687,tj5c_S0oS487sHpuyiLkDg,turkish,0.0043850000947713,51.4849090576172,Mediterranean,POINT (539270.1631030155 178122.0116769201),981.0,E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London,6561.0,6557.0,4.0,75.6,2876.0,2.3
2688,Pn4McJMu2uxplp-Z-kQULw,turkish,0.0507532,51.4509837,Mediterranean,POINT (542595.0703514377 174438.6712897704),326.0,E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London,6088.0,6086.0,2.0,18.6,2799.0,2.2
2689,vmWEDp9LVJIEtXMFvo_OhQ,turkish,0.0513927,51.4507653,Mediterranean,POINT (542640.182601435 174415.6295661999),326.0,E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London,6088.0,6086.0,2.0,18.6,2799.0,2.2
2690,GRKCDvhdkPQoVT0qwCtOzA,pakistani,0.0024214886594558,51.458598198928,Pakistani,POINT (539213.8541487528 175192.4898269214),642.0,E02000665,Lewisham 013,E09000023,Lewisham,E12000007,London,7916.0,7907.0,9.0,98.9,3504.0,2.3
2691,y80d4BvZ5aVB30cHMtglNw,pakistani,0.008733,51.466868,Pakistani,POINT (539627.0778437683 176124.104479945),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2692,9vbhd1s5J31-LgOnQpTQOw,pakistani,0.0004861,51.4497253,Pakistani,POINT (539106.3568273752 174202.143415796),646.0,E02000669,Lewisham 017,E09000023,Lewisham,E12000007,London,7518.0,7403.0,115.0,117.0,3270.0,2.3
2693,mLJz9gf5Tjs7nFtKeFHkgA,pakistani,0.01738,51.484012,Pakistani,POINT (540175.1306763098 178047.0407103084),317.0,E02000328,Greenwich 016,E09000011,Greenwich,E12000007,London,6606.0,6512.0,94.0,75.4,3070.0,2.1
2694,GaCq4KzK0xZynEoHcLH8Gw,pakistani,0.052554,51.4672203,Pakistani,POINT (542669.5833767692 176247.6848361763),323.0,E02000335,Greenwich 023,E09000011,Greenwich,E12000007,London,6549.0,6549.0,0.0,50.6,2637.0,2.5
2695,WzrHtTM5teUNp0rhpVJExg,pakistani,0.0525041,51.4671369,Pakistani,POINT (542666.3775506511 176238.3136017183),323.0,E02000335,Greenwich 023,E09000011,Greenwich,E12000007,London,6549.0,6549.0,0.0,50.6,2637.0,2.5
2696,hC5meKxRJHh-AZ09II5lIA,pakistani,0.0153191,51.4427349,Pakistani,POINT (540158.3657889056 173453.0628453101),652.0,E02000675,Lewisham 023,E09000023,Lewisham,E12000007,London,8204.0,8165.0,39.0,57.2,3419.0,2.4
2698,u6r7dHkvo-jCAR8E5MUL2Q,pakistani,0.0736961,51.4386472,Pakistani,POINT (544227.9629048709 173111.7447128059),328.0,E02000342,Greenwich 030,E09000011,Greenwich,E12000007,London,6453.0,5379.0,1074.0,47.4,2268.0,2.4
2699,yRNUf_4y55GFE6q-4c9FsQ,pakistani,0.0696766,51.4811384,Pakistani,POINT (543815.075122541 177828.8515889107),313.0,E02000323,Greenwich 011,E09000011,Greenwich,E12000007,London,10674.0,10631.0,43.0,140.2,4001.0,2.7
2700,sN0O7VF9u9B6pMeh8od6kw,pakistani,0.060316,51.470604,Pakistani,POINT (543198.1023660837 176639.0926871682),320.0,E02000332,Greenwich 020,E09000011,Greenwich,E12000007,London,7253.0,7239.0,14.0,35.9,2958.0,2.4
2701,jR-uAwKdR5GRh4kgbMTfmw,pakistani,0.0126759,51.4505656,Pakistani,POINT (539950.7564342001 174318.788895004),645.0,E02000668,Lewisham 016,E09000023,Lewisham,E12000007,London,6657.0,6647.0,10.0,66.0,2816.0,2.4
